,City,Country,Lat,Long,Hotel Name
39,mount isa,AU,-20.7333,139.5,Isa Hotel
74,darab,IR,28.7519,54.5444,Naghshe shapoor Hotel
102,aklavik,CA,68.2191,-135.0107,Sundog Inn
196,altay,CN,47.8667,88.1167,Altay Water Conservancy Hotel
265,charters towers,AU,-20.1,146.2667,Charters Towers Motel
299,maningrida,AU,-12.0667,134.2667,Dhukurrdji Lodge
322,kununurra,AU,-15.7667,128.7333,The Kimberley Grande Resort
466,katherine,AU,-14.4667,132.2667,Contour Hotel Katherine
591,kashan,IR,33.9831,51.4364,Givak hotel
592,bowen,AU,-20.0167,148.2333,Whitsunday Sands Resort
607,dasoguz,TM,41.8363,59.9666,Ташауз Отел
