,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,-33.5906,26.891,12.17,75,100,10.42,ZA,1626831878
1,54.0359,19.0266,14.93,94,48,3.29,PL,1626831879
2,-34.5322,20.0403,6.62,81,53,2.57,ZA,1626831879
3,-0.7393,-90.3518,22.53,94,100,3.13,EC,1626831879
4,-37.8333,140.7667,9.95,81,90,4.63,AU,1626831880
5,67.667,12.6934,9.92,75,100,9.22,NO,1626831880
6,-31.5375,-68.5364,13.28,22,5,0.64,AR,1626831881
7,31.7561,25.0865,25.33,75,0,3.2,LY,1626831881
8,32.6667,-17.1,22.62,81,0,1.38,PT,1626831881
9,-42.7826,147.0587,12.18,65,100,3.13,AU,1626831882
10,-23.1203,-134.9692,21.72,65,71,10.11,PF,1626831882
11,45.0205,-93.218,28.94,67,20,0.89,US,1626831883
12,31.61,34.7642,25.38,100,3,1.45,IL,1626831883
13,69.4541,-133.0374,27.0,39,1,6.17,CA,1626831883
14,-22.116,14.2845,11.59,91,1,4.7,NA,1626831884
15,14.3,-91.9167,29.08,74,34,1.17,GT,1626831884
16,-33.918,25.5701,10.16,76,0,8.75,ZA,1626831884
17,77.484,-69.3632,3.29,89,97,0.3,GL,1626831885
18,35.1333,140.3,31.06,67,61,2.44,JP,1626831885
19,37.5683,126.9778,31.76,62,20,2.06,KR,1626831877
20,71.2906,-156.7887,3.01,87,90,9.26,US,1626831883
21,33.2833,134.15,29.02,79,100,7.4,JP,1626831886
22,61.2767,108.0108,21.4,60,95,1.86,RU,1626831886
23,-33.65,115.3333,13.36,87,70,6.72,AU,1626831887
24,4.9333,-52.3333,27.83,81,20,0.45,GF,1626831887
25,37.4,136.9,31.38,62,40,3.09,JP,1626831887
26,22.7886,100.9748,20.26,97,99,0.5,CN,1626831888
27,16.06,102.731,28.88,80,100,5.55,TH,1626831888
28,37.1041,-113.5841,36.33,32,20,2.06,US,1626831888
29,3.0707,172.7902,27.95,74,14,3.46,KI,1626831889
30,65.282,-126.8329,28.02,34,20,6.69,CA,1626831889
31,72.7868,-56.1549,5.61,85,100,3.7,GL,1626831890
32,60.1545,-1.1494,11.0,86,53,0.52,GB,1626831890
33,-46.2817,169.8464,7.74,81,100,1.78,NZ,1626831890
34,42.6001,-73.9662,23.13,82,42,1.79,US,1626831870
35,-33.0153,27.9116,12.93,69,100,8.7,ZA,1626831891
36,-9.8,-139.0333,25.43,74,97,10.86,PF,1626831891
37,70.6333,147.9167,13.29,72,85,6.08,RU,1626831891
38,-28.7667,114.6,19.23,72,75,8.23,AU,1626831892
39,-20.7333,139.5,21.87,24,20,7.2,AU,1626831892
40,-34.0033,24.7314,7.71,73,83,6.76,ZA,1626831892
41,5.4112,100.3354,29.96,83,20,0.45,MY,1626831893
42,-21.3585,55.7679,20.75,78,54,5.76,RE,1626831893
43,10.9995,122.6711,29.29,71,100,7.33,PH,1626831893
44,65.3667,64.6667,14.07,65,100,3.04,RU,1626831894
45,64.8569,-147.8028,30.99,29,40,3.6,US,1626831873
46,17.9583,-102.2,27.53,81,100,1.7,MX,1626831894
47,42.097,-79.2353,22.8,78,20,6.17,US,1626831895
48,-53.15,-70.9167,1.06,93,40,1.54,CL,1626831895
49,-46.1927,168.8643,8.04,79,100,1.11,NZ,1626831895
50,-1.6,103.6167,28.17,70,97,2.88,ID,1626831895
51,49.7834,-74.8492,15.88,59,66,2.28,CA,1626831896
52,38.4167,77.2406,24.03,45,100,1.02,CN,1626831896
53,71.6872,128.8694,7.48,69,40,4.05,RU,1626831896
54,70.4692,-68.5914,2.13,100,90,7.72,CA,1626831664
55,11.6667,92.75,28.06,83,100,9.86,IN,1626831897
56,37.7167,-25.4333,20.23,90,7,4.81,PT,1626831873
57,-21.2078,-159.775,26.03,83,75,6.69,CK,1626831897
58,62.456,-114.3525,24.05,45,40,0.45,CA,1626831898
59,-24.1333,19.1167,5.51,77,7,4.26,NA,1626831898
60,-34.4187,19.2345,8.83,73,53,7.71,ZA,1626831899
61,15.7432,-96.4661,28.79,87,100,1.65,MX,1626831899
